id,value,color
Armenui Minasyan,,indigo
Armenui Minasyan.life is about doing things that!can change you,,red
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift,,indigo
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life,,yellow
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments,,yellow
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me,,orange
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.i want to shine bright!i want to have energy!i want to enjoy every single day,,red
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.i want to shine bright!i want to have energy!i want to enjoy every single day.every moment is an experience!a decision that we take,,red
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.i want to shine bright!i want to have energy!i want to enjoy every single day.always develop,,green
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.its important to be happy!thats when the impossible!becomes possible,,red
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.if you can influence someone positively!they can influence someone,,indigo
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.its important to be happy!thats when the impossible!becomes possible.if you want great things to happen!learn to be happy,,indigo
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.its important to be happy!thats when the impossible!becomes possible.if you want great things to happen!learn to be happy.be happy,,orange
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.its important to be happy!thats when the impossible!becomes possible.if you want great things to happen!learn to be happy.be happy.let go be happy in the moment!celebrate the moment!be like a kid,,red
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.its important to be happy!thats when the impossible!becomes possible.if you want great things to happen!learn to be happy.be happy.let go be happy in the moment!celebrate the moment!be like a kid.stop worrying about things you cant change!be in the moment and enjoy,,red
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.its important to be happy!thats when the impossible!becomes possible.if you want great things to happen!learn to be happy.be happy.let go be happy in the moment!celebrate the moment!be like a kid.stop worrying about things you cant change!be in the moment and enjoy.live in the moment!dont live in the past,,orange
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.if you can influence someone positively!they can influence someone.look up to each other!learn from each other,,violet
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.if you can influence someone positively!they can influence someone.look up to each other!learn from each other.change yourself!serve as an example,,indigo
Armenui Minasyan.life is about doing things that!can change you.we only have one life!living life is a gift.i need to make sure i live!a good life.make sure i have great moments!make sure i have great accomplishments.make sure there is something!left after me.if you can influence someone positively!they can influence someone.look up to each other!learn from each other.influence people!dont change them,,violet
